Product ID,Product Name,Category,Sub-Category,product_total_sales,product_total_profit,product_total_quantity
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,7242.768,-532.7613,29
TEC-PH-10000560,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),Technology,Phones,7139.796,83.9976,28
TEC-MA-10000045,Zebra ZM400 Thermal Label Printer,Technology,Machines,6965.7,3343.536,6
FUR-TA-10002958,"Bevis Oval Conference Table, Walnut",Furniture,Tables,6942.068,-856.0144,36
FUR-CH-10002335,Hon GuestStacker Chair,Furniture,Chairs,6936.102,1233.0848,34
OFF-AP-10002651,Hoover Upright Vacuum With Dirt Cup,Office Supplies,Appliances,6832.908,460.3527,31
OFF-ST-10003470,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Office Supplies,Storage,6819.312,181.662,25
OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders,6785.142,494.4212,23
FUR-TA-10003569,Bretford CR8500 Series Meeting Room Furniture,Furniture,Tables,6776.562,461.127,21
TEC-PH-10001530,Cisco Unified IP Phone 7945G VoIP phone,Technology,Phones,6751.602,102.297,26
FUR-CH-10004997,Hon Every-Day Series Multi-Task Chairs,Furniture,Chairs,6748.482,281.97,43
TEC-PH-10001795,ClearOne CHATAttach 160 -�speaker phone,Technology,Phones,6695.892,1053.983,13
OFF-ST-10001496,Standard Rollaway File with Lock,Office Supplies,Storage,6594.954,1261.33,40
FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,Furniture,Chairs,6584.64,814.416,36
OFF-ST-10002615,"Dual Level, Single-Width Filing Carts",Office Supplies,Storage,6574.544,1640.5348,43
FUR-TA-10001950,Balt Solid Wood Round Tables,Furniture,Tables,6518.754,-1201.0581,19
FUR-CH-10002320,Hon Pagoda Stacking Chairs,Furniture,Chairs,6483.796,1540.704,22
FUR-CH-10004495,"Global Leather and Oak Executive Chair, Black",Furniture,Chairs,6410.874,854.7832,26
TEC-CO-10004115,Sharp AL-1530CS Digital Copier,Technology,Copiers,6399.872,2064.9587,17
TEC-PH-10000895,Polycom VVX 310 VoIP phone,Technology,Phones,6227.654,899.95,40
TEC-PH-10002584,Samsung Galaxy S4,Technology,Phones,6134.702,438.193,13
TEC-PH-10002624,Samsung Galaxy S4 Mini,Technology,Phones,6109.87,1104.4765,15
FUR-CH-10000309,Global Comet Stacking Arm Chair,Furniture,Chairs,6084.144,697.1415,17
FUR-CH-10000785,Global Ergonomic Managers Chair,Furniture,Chairs,6008.536,785.4532,39
TEC-CO-10002313,Canon PC1080F Personal Copier,Technology,Copiers,5999.9,1973.9671,11
FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,Chairs,5989.204,267.3034,39
FUR-TA-10004575,Hon 5100 Series Wood Tables,Furniture,Tables,5965.09,-238.6036,26
OFF-AP-10000275,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",Office Supplies,Appliances,5906.52,1653.8256,18
FUR-CH-10003746,Hon 4070 Series Pagoda Round Back Stacking Chairs,Furniture,Chairs,5906.032,1052.8144,21
FUR-CH-10001394,Global Leather Executive Chair,Furniture,Chairs,5861.533,701.98,21
FUR-TA-10004915,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",Furniture,Tables,5801.816,-66.8272,23
TEC-MA-10004002,Zebra GX420t Direct Thermal/Thermal Transfer Printer,Technology,Machines,5787.355,509.712,14
OFF-ST-10001526,Iceberg Mobile Mega Data/Printer Cart,Office Supplies,Storage,5751.774,1388.6082,49
FUR-CH-10000595,Safco Contoured Stacking Chairs,Furniture,Chairs,5697.76,870.16,27
TEC-CO-10001766,Canon PC940 Copier,Technology,Copiers,5669.874,2092.4535,15
FUR-TA-10004256,Bretford �Just In Time� Height-Adjustable Multi-Task Work Tables,Furniture,Tables,5634.9,-964.194,17
TEC-AC-10003870,Logitech�Z-906 Speaker sys - home theater - 5.1-CH,Technology,Accessories,5609.83,2243.932,17
OFF-ST-10000142,Deluxe Rollaway Locking File with Drawer,Office Supplies,Storage,5572.792,1380.7216,14
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,Bookcases,5492.885,15.049,26
FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",Furniture,Chairs,5436.158,-474.7414,54
FUR-CH-10002073,Hon Olson Stacker Chairs,Furniture,Chairs,5427.99,1292.1264,22
OFF-BI-10004632,Ibico Hi-Tech Manual Binding System,Office Supplies,Binders,5398.323,-304.99,34
TEC-PH-10004586,Wilson SignalBoost 841262 DB PRO Amplifier Kit,Technology,Phones,5327.26,1043.855,17
FUR-CH-10000988,Hon Olson Stacker Stools,Furniture,Chairs,5294.456,833.5952,44
TEC-PH-10004977,GE 30524EE4,Technology,Phones,5291.73,838.8372,32
FUR-CH-10003312,Hon 2090 �Pillow Soft� Series Mid Back Swivel/Tilt Chairs,Furniture,Chairs,5282.424,-989.0496,24
FUR-CH-10004675,"Lifetime Advantage Folding Chairs, 4/Carton",Furniture,Chairs,5212.112,972.6368,27
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,5184.081,-126.441,27
TEC-AC-10001838,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,Technology,Accessories,5119.744,2155.8922,26
FUR-TA-10001932,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",Furniture,Tables,5098.176,-404.0064,22
OFF-AP-10003849,Hoover Shoulder Vac Commercial Portable Vacuum,Office Supplies,Appliances,5009.48,715.64,16
TEC-PH-10000984,Panasonic KX-TG9471B,Technology,Phones,4978.146,1168.1004,27
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,4952.673,-450.243,30
TEC-PH-10001363,Apple iPhone 5S,Technology,Phones,4901.914,512.991,11
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,Bookcases,4886.46,566.4674,31
TEC-CO-10004202,Brother DCP1000 Digital 3 in 1 Multifunction Machine,Technology,Copiers,4859.838,1154.9615,19
OFF-ST-10001932,Fellowes Staxonsteel Drawer Files,Office Supplies,Storage,4829.25,509.9688,26
OFF-ST-10002011,Smead Adjustable Mobile File Trolley with Lockable Top,Office Supplies,Storage,4778.766,1106.6616,12
FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,Chairs,4770.633,-197.5848,42
OFF-ST-10002743,SAFCO Boltless Steel Shelving,Office Supplies,Storage,4704.696,-470.4696,46
FUR-CH-10000847,Global Executive Mid-Back Manager's Chair,Furniture,Chairs,4626.582,750.7284,18
FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs,4619.988,486.1556,37
TEC-PH-10001494,Polycom CX600 IP Phone VoIP phone,Technology,Phones,4619.23,896.8505,17
OFF-ST-10003306,Letter Size Cart,Office Supplies,Storage,4600.092,1252.8822,33
FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",Furniture,Tables,4544.925,-192.1854,24
OFF-ST-10001809,Fellowes Officeware Wire Shelving,Office Supplies,Storage,4509.466,-332.371,55
TEC-PH-10002200,Samsung Galaxy Note 2,Technology,Phones,4507.902,-128.7972,14
OFF-ST-10000689,"Fellowes Strictly Business Drawer File, Letter/Legal Size",Office Supplies,Storage,4479.03,388.746,33
OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,Appliances,4476.96,956.9502,17
FUR-TA-10004154,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Furniture,Tables,4446.175,-1147.4,25
TEC-PH-10003012,Nortel Meridian M3904 Professional Digital phone,Technology,Phones,4434.912,936.2592,32
FUR-CH-10003981,Global Commerce Series Low-Back Swivel/Tilt Chairs,Furniture,Chairs,4420.056,41.1168,24
TEC-CO-10001571,Sharp 1540cs Digital Laser Copier,Technology,Copiers,4399.92,1649.97,10
TEC-AC-10002049,Logitech G19 Programmable Gaming Keyboard,Technology,Accessories,4389.246,729.0612,36
OFF-ST-10002756,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Office Supplies,Storage,4384.044,-36.5337,33
FUR-TA-10000617,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",Furniture,Tables,4334.8275,430.0695,22
FUR-TA-10003748,Bevis 36 x 72 Conference Tables,Furniture,Tables,4332.252,448.164,40
OFF-BI-10003091,GBC DocuBind TL200 Manual Binding Machine,Office Supplies,Binders,4322.814,1592.4978,23
FUR-TA-10003238,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",Furniture,Tables,4297.644,-611.5878,11
TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,Technology,Machines,4268.0,466.4,16
TEC-PH-10004094,Motorola L703CM,Technology,Phones,4211.73,467.97,32
OFF-BI-10004390,GBC DocuBind 200 Manual Binding Machine,Office Supplies,Binders,4209.8,1052.45,15
TEC-CO-10000971,Hewlett Packard 310 Color Digital Copier,Technology,Copiers,4199.86,839.972,16
OFF-ST-10002574,"SAFCO Commercial Wire Shelving, Black",Office Supplies,Storage,4199.456,-635.444,35
FUR-CH-10004983,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Furniture,Chairs,4185.48,342.8874,31
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,4181.754,693.5592,38
TEC-PH-10002496,Cisco SPA301,Technology,Phones,4180.532,904.742,30
FUR-CH-10003774,"Global Wood Trimmed Manager's Task Chair, Khaki",Furniture,Chairs,4166.884,-503.1194,59
TEC-CO-10001943,Canon PC-428 Personal Copier,Technology,Copiers,4119.794,1469.9265,25
TEC-PH-10004539,Wireless Extenders zBoost YX545 SOHO Signal Booster,Technology,Phones,4044.386,733.2812,24
OFF-ST-10000046,Fellowes Super Stor/Drawer Files,Office Supplies,Storage,4006.44,473.3415,27
TEC-PH-10000730,Samsung Galaxy S4 Active,Technology,Phones,3999.92,1039.9792,8
TEC-AC-10002842,WD My Passport Ultra 2TB Portable External Hard Drive,Technology,Accessories,3998.4,499.8,35
TEC-MA-10002927,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,Technology,Machines,3991.98,1995.99,2
FUR-CH-10001708,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,Furniture,Chairs,3989.734,425.7596,32
TEC-PH-10001578,Polycom SoundStation2 EX Conference�phone,Technology,Phones,3968.51,518.336,12
FUR-TA-10001768,Hon Racetrack Conference Tables,Furniture,Tables,3963.901,-598.5228,22
TEC-CO-10003236,Canon Image Class D660 Copier,Technology,Copiers,3959.934,1691.9718,7
FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair, Black",Furniture,Chairs,3955.676,573.724,32
OFF-ST-10003816,Fellowes High-Stak Drawer Files,Office Supplies,Storage,3946.656,419.3322,26
FUR-FU-10000576,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furniture,Furnishings,3861.056,289.5792,23
OFF-AP-10003057,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,Office Supplies,Appliances,3855.18,1503.5202,14
TEC-PH-10002549,Polycom SoundPoint IP 450 VoIP phone,Technology,Phones,3839.62,162.6192,22
TEC-PH-10002834,Google Nexus 5,Technology,Phones,3815.788,710.9605,23
FUR-TA-10004619,Hon Non-Folding Utility Tables,Furniture,Tables,3775.647,541.654,29
TEC-AC-10002637,Logitech�VX Revolution Cordless Laser Mouse for Notebooks (Black),Technology,Accessories,3743.792,21.5988,22
FUR-TA-10001307,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Furniture,Tables,3739.115,608.043,14
TEC-PH-10003645,Aastra 57i VoIP phone,Technology,Phones,3684.708,575.3316,26
FUR-CH-10003298,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Furniture,Chairs,3680.538,-491.175,35
TEC-PH-10002415,Polycom VoiceStation 500 Conference�phone,Technology,Phones,3657.38,339.1925,15
FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",Furniture,Chairs,3641.274,234.234,64
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,Bookcases,3626.0056,-208.6504,34
TEC-PH-10004447,Toshiba IPT2010-SD IP�Telephone,Technology,Phones,3613.74,425.3094,31
FUR-TA-10001771,"Bush Cubix Conference Tables, Fully Assembled",Furniture,Tables,3603.288,311.823,19
TEC-PH-10001557,Pyle PMP37LED,Technology,Phones,3590.026,576.8999,43
FUR-TA-10003392,Global Adaptabilities Conference Tables,Furniture,Tables,3540.348,354.0348,14
OFF-ST-10003805,"24 Capacity Maxi Data Binder Racks, Pearl",Office Supplies,Storage,3537.24,536.9025,19
FUR-CH-10000155,Global Comet Stacking Armless Chair,Furniture,Chairs,3528.79,514.366,14
OFF-AP-10000828,Avanti 4.4 Cu. Ft. Refrigerator,Office Supplies,Appliances,3511.012,383.6776,24
FUR-TA-10002645,Hon Rectangular Conference Tables,Furniture,Tables,3481.515,-295.815,20
FUR-TA-10002530,"Iceberg OfficeWorks 42"" Round Tables",Furniture,Tables,3457.442,-392.548,30
FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",Furniture,Bookcases,3447.84,206.8704,8
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,Bookcases,3420.7704,-755.7516,21
TEC-PH-10003505,Geemarc AmpliPOWER60,Technology,Phones,3415.04,384.192,46
TEC-MA-10003673,Hewlett-Packard Desktjet 6988DT Refurbished Printer,Technology,Machines,3404.5,1668.205,5
FUR-TA-10001705,Bush Advantage Collection Round Conference Table,Furniture,Tables,3401.6,210.474,19
OFF-ST-10000025,Fellowes Stor/Drawer Steel Plus Storage Drawers,Office Supplies,Storage,3397.308,78.2526,37
FUR-TA-10000688,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",Furniture,Tables,3354.89,100.211,18
OFF-LA-10003930,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Office Supplies,Labels,3322.878,1517.9064,36
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",Furniture,Bookcases,3317.7235,135.5887,34
FUR-FU-10001468,Tenex Antistatic Computer Chair Mats,Furniture,Furnishings,3317.012,-530.038,25
FUR-TA-10004534,Bevis 44 x 96 Conference Tables,Furniture,Tables,3253.22,-164.72,20
OFF-BI-10004318,Ibico EB-19 Dual Function Manual Binding System,Office Supplies,Binders,3234.913,1086.3772,23
OFF-BI-10004584,GBC ProClick 150 Presentation Binding System,Office Supplies,Binders,3222.996,-461.3308,22
TEC-MA-10001972,Okidata C331dn Printer,Technology,Machines,3210.8,111.68,12
OFF-ST-10001097,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Office Supplies,Storage,3178.13,-167.27,20
TEC-PH-10002103,Jabra SPEAK 410,Technology,Phones,3158.064,654.1704,37
FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,3150.576,499.851,35
FUR-TA-10003715,Hon 2111 Invitation Series Corner Table,Furniture,Tables,3140.55,-401.9904,18
OFF-ST-10000585,Economy Rollaway Files,Office Supplies,Storage,3138.8,693.84,20
TEC-PH-10003691,BlackBerry Q10,Technology,Phones,3099.354,548.0565,27
TEC-PH-10003072,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,Technology,Phones,3059.796,1147.4235,25
OFF-AP-10003590,Hoover WindTunnel Plus Canister Vacuum,Office Supplies,Appliances,3051.3,697.44,9
TEC-PH-10001336,Digium D40 VoIP phone,Technology,Phones,3044.164,571.4257,27
TEC-MA-10000010,Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,Technology,Machines,3040.0,1459.2,8
OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,Appliances,3039.5,401.214,31
OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,Office Supplies,Storage,3035.208,24.1437,27
OFF-ST-10000736,Carina Double Wide Media Storage Towers in Natural & Black,Office Supplies,Storage,3028.652,-3.2392,39
OFF-SU-10000157,Compact Automatic Electric Letter Opener,Office Supplies,Supplies,2982.75,-57.2688,26
FUR-TA-10001086,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",Furniture,Tables,2979.004,54.7164,26
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,2970.059,-78.637,28
FUR-CH-10004853,"Global Manager's Adjustable Task Chair, Storm",Furniture,Chairs,2959.208,493.7046,23
OFF-BI-10004519,GBC DocuBind P100 Manual Binding Machine,Office Supplies,Binders,2954.444,489.641,27
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,Bookcases,2946.3668,-767.7436,22
OFF-AP-10002534,3.6 Cubic Foot Counter Height Office Refrigerator,Office Supplies,Appliances,2946.2,-872.0752,18
TEC-PH-10002200,Aastra 6757i CT Wireless VoIP phone,Technology,Phones,2929.984,482.5856,16
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,Chairs,2913.914,-445.391,25
TEC-PH-10002922,ShoreTel ShorePhone IP 230 VoIP phone,Technology,Phones,2906.628,422.475,21
FUR-BO-10004357,O'Sullivan Living Dimensions 3-Shelf Bookcases,Furniture,Bookcases,2904.161,-170.833,17
OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,Appliances,2883.276,229.5942,21
TEC-AC-10002001,Logitech Wireless Gaming Headset G930,Technology,Accessories,2879.82,763.1523,21
TEC-PH-10001760,Bose SoundLink Bluetooth Speaker,Technology,Phones,2865.6,967.14,18
FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,2863.8,627.1722,33
FUR-TA-10003008,"Lesro Round Back Collection Coffee Table, End Table",Furniture,Tables,2847.78,-328.59,20
TEC-MA-10001148,Okidata MB491 Multifunction Printer,Technology,Machines,2844.3,-434.13,9
OFF-SU-10000646,Premier Automatic Letter Opener,Office Supplies,Supplies,2836.366,-427.8586,14
TEC-AC-10001908,Logitech Wireless Headset h800,Technology,Accessories,2799.72,719.928,32
OFF-PA-10000994,Xerox 1915,Office Supplies,Paper,2789.01,1262.394,28
FUR-TA-10001039,KI Adjustable-Height Table,Furniture,Tables,2764.257,-226.1274,47
FUR-FU-10004306,Electrix Halogen Magnifier Lamp,Furniture,Furnishings,2759.06,314.766,17
TEC-AC-10004666,Maxell�iVDR EX 500GB Cartridge,Technology,Accessories,2755.4,1184.822,10
TEC-PH-10000441,VTech DS6151,Technology,Phones,2746.582,478.762,25
TEC-PH-10002555,Nortel Meridian M5316 Digital phone,Technology,Phones,2744.87,253.771,13
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,2740.197,-975.0988,37
OFF-ST-10001128,"Carina Mini System Audio Rack, Model AR050B",Office Supplies,Storage,2730.108,-68.8076,26
OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,2706.08,578.6848,14
FUR-CH-10002084,Hon Mobius Operator's Chair,Furniture,Chairs,2705.78,499.3394,23
FUR-FU-10002937,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Furniture,Furnishings,2699.056,1260.221,29
FUR-TA-10002041,"Bevis Round Conference Table Top, X-Base",Furniture,Tables,2671.421,-519.941,20
TEC-AC-10002253,Imation Bio 8GB USB�Flash Drive Imation�Corp,Technology,Accessories,2659.84,398.976,16
FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,Furniture,Chairs,2647.809,49.1346,34
TEC-PH-10004667,Cisco 8x8 Inc. 6753i IP Business Phone System,Technology,Phones,2645.804,83.6938,26
OFF-SU-10003505,Premier Electric Letter Opener,Office Supplies,Supplies,2641.608,-3.5527136788005e-15,24
TEC-PH-10000526,Vtech CS6719,Technology,Phones,2630.126,418.5164,32
TEC-AC-10003911,NETGEAR AC1750 Dual Band Gigabit�Smart WiFi Router,Technology,Accessories,2623.836,723.1548,18
TEC-AC-10004171,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,Technology,Accessories,2619.738,995.9004,29
OFF-ST-10000060,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,Office Supplies,Storage,2612.196,153.3528,43
TEC-PH-10001128,Motorola Droid Maxx,Technology,Phones,2609.826,341.9772,21
FUR-CH-10002126,Hon Deluxe Fabric Upholstered Stacking Chairs,Furniture,Chairs,2586.188,-48.796,15
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,2552.54,51.0508,23
FUR-TA-10002356,Bevis Boat-Shaped Conference Table,Furniture,Tables,2542.467,-445.587,15
TEC-MA-10002428,Fellowes Powershred HS-440 4-Sheet High Security Shredder,Technology,Machines,2541.836,1092.6795,17
TEC-MA-10003353,Xerox WorkCentre 6505DN Laser Multifunction Printer,Technology,Machines,2519.958,-251.9958,7
OFF-ST-10004123,Safco Industrial Wire Shelving System,Office Supplies,Storage,2511.048,-218.352,30
